numer PKD,nazwa PKD,wskaźnik,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
OG,OGÓŁEM,EN Liczba jednostek gospodarczych,"46 396,00 ","47 048,00 ","48 165,00 ","53 148,00 ","53 837,00 ","53 220,00 ","54 189,00 ","54 587,00 ","56 432,00 ","56 628,00 ","55 092,00 ","56 630,00 ","53 484,00 ","53 282,00 ","53 340,00 ","52 401,00 ","51 577,00 ","53 067,00 ","54 654,00 ","55 521,00 "
SEK_A,"ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO",EN Liczba jednostek gospodarczych,"1 500,00 ","1 509,00 ","1 472,00 ","1 402,00 ","1 394,00 ","1 354,00 ","1 350,00 ","1 202,00 ","1 273,00 ","1 274,00 ","1 162,00 ","1 134,00 ","1 039,00 ","1 440,00 ","1 401,00 ","1 335,00 ","1 302,00 ","1 272,00 ","1 257,00 ","1 269,00 "
SEK_B,GÓRNICTWO I WYDOBYWANIE,EN Liczba jednostek gospodarczych,"219,00 ","223,00 ","234,00 ","250,00 ","261,00 ","273,00 ","296,00 ","328,00 ","333,00 ","336,00 ","321,00 ","316,00 ","282,00 ","279,00 ","282,00 ","279,00 ","269,00 ","264,00 ","275,00 ","278,00 "
SEK_C,PRZETWÓRSTWO PRZEMYSŁOWE,EN Liczba jednostek gospodarczych,"13 887,00 ","14 008,00 ","14 290,00 ","14 738,00 ","15 030,00 ","14 637,00 ","14 802,00 ","14 869,00 ","15 056,00 ","15 255,00 ","15 002,00 ","15 305,00 ","14 447,00 ","14 142,00 ","14 129,00 ","13 850,00 ","13 464,00 ","13 746,00 ","14 016,00 ","14 159,00 "
SEK_D,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ, GORĄCĄ WODĘ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH",EN Liczba jednostek gospodarczych,"484,00 ","489,00 ","495,00 ","502,00 ","497,00 ","470,00 ","473,00 ","482,00 ","474,00 ","471,00 ","454,00 ","463,00 ","460,00 ","454,00 ","444,00 ","436,00 ","435,00 ","433,00 ","444,00 ","454,00 "
SEK_E,DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ,EN Liczba jednostek gospodarczych,"1 012,00 ","1 027,00 ","1 041,00 ","1 110,00 ","1 151,00 ","1 190,00 ","1 268,00 ","1 321,00 ","1 385,00 ","1 417,00 ","1 408,00 ","1 446,00 ","1 451,00 ","1 456,00 ","1 452,00 ","1 455,00 ","1 486,00 ","1 541,00 ","1 591,00 ","1 604,00 "
SEK_F,BUDOWNICTWO,EN Liczba jednostek gospodarczych,"4 216,00 ","4 371,00 ","4 658,00 ","5 772,00 ","5 967,00 ","5 830,00 ","5 950,00 ","5 870,00 ","5 804,00 ","5 461,00 ","5 363,00 ","5 369,00 ","4 938,00 ","4 898,00 ","4 939,00 ","5 003,00 ","4 889,00 ","4 997,00 ","5 119,00 ","5 323,00 "
SEK_G,"HANDEL HURTOWY I DETALICZNY; NAPRAWA POJAZDÓW SAMOCHODOWYCH, WŁĄCZAJĄC MOTOCYKLE",EN Liczba jednostek gospodarczych,"14 839,00 ","14 883,00 ","15 044,00 ","16 655,00 ","16 362,00 ","16 139,00 ","15 908,00 ","15 938,00 ","16 537,00 ","16 403,00 ","15 578,00 ","15 738,00 ","14 565,00 ","14 235,00 ","13 846,00 ","13 503,00 ","13 210,00 ","13 332,00 ","13 477,00 ","13 603,00 "
SEK_H,TRANSPORT I GOSPODARKA MAGAZYNOWA,EN Liczba jednostek gospodarczych,"1 859,00 ","1 953,00 ","2 089,00 ","2 493,00 ","2 595,00 ","2 497,00 ","2 705,00 ","2 861,00 ","3 070,00 ","3 193,00 ","3 209,00 ","3 502,00 ","3 226,00 ","3 150,00 ","3 224,00 ","3 119,00 ","3 076,00 ","3 324,00 ","3 622,00 ","3 650,00 "
SEK_I,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI,EN Liczba jednostek gospodarczych,"758,00 ","806,00 ","824,00 ","915,00 ","984,00 ","977,00 ","1 024,00 ","1 051,00 ","1 120,00 ","1 150,00 ","1 093,00 ","1 178,00 ","1 132,00 ","1 121,00 ","1 141,00 ","1 057,00 ","1 026,00 ","1 134,00 ","1 243,00 ","1 348,00 "
SEK_J,INFORMACJA I KOMUNIKACJA,EN Liczba jednostek gospodarczych,"1 119,00 ","1 140,00 ","1 148,00 ","1 425,00 ","1 453,00 ","1 479,00 ","1 612,00 ","1 714,00 ","1 795,00 ","1 903,00 ","1 799,00 ","1 996,00 ","1 931,00 ","2 034,00 ","2 118,00 ","2 132,00 ","2 200,00 ","2 390,00 ","2 545,00 ","2 520,00 "
SEK_K,DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA,EN Liczba jednostek gospodarczych,"317,00 ","318,00 ","339,00 ","399,00 ","488,00 ","527,00 ","558,00 ","554,00 ","616,00 ","639,00 ","643,00 ","652,00 ","654,00 ","667,00 ","680,00 ","634,00 ","622,00 ","637,00 ","635,00 ","665,00 "
SEK_L,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI,EN Liczba jednostek gospodarczych,"1 800,00 ","1 781,00 ","1 745,00 ","1 913,00 ","1 822,00 ","1 849,00 ","1 978,00 ","1 955,00 ","2 085,00 ","2 137,00 ","2 040,00 ","2 068,00 ","1 986,00 ","1 968,00 ","1 952,00 ","1 927,00 ","1 864,00 ","1 846,00 ","1 882,00 ","1 870,00 "
SEK_M,"DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA",EN Liczba jednostek gospodarczych,"1 759,00 ","1 827,00 ","1 913,00 ","2 348,00 ","2 386,00 ","2 451,00 ","2 554,00 ","2 608,00 ","2 775,00 ","2 690,00 ","2 633,00 ","2 924,00 ","2 926,00 ","3 034,00 ","3 143,00 ","3 132,00 ","3 182,00 ","3 354,00 ","3 541,00 ","3 637,00 "
SEK_N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,EN Liczba jednostek gospodarczych,"1 138,00 ","1 198,00 ","1 274,00 ","1 466,00 ","1 497,00 ","1 572,00 ","1 608,00 ","1 712,00 ","1 821,00 ","1 873,00 ","2 007,00 ","2 092,00 ","2 098,00 ","2 000,00 ","2 105,00 ","2 078,00 ","2 072,00 ","2 163,00 ","2 257,00 ","2 280,00 "
SEK_O,ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE ZABEZPIECZENIA SPOŁECZNE,EN Liczba jednostek gospodarczych,bd,"1,00 ","1,00 ","1,00 ",bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
SEK_P,EDUKACJA,EN Liczba jednostek gospodarczych,"187,00 ","202,00 ","213,00 ","262,00 ","272,00 ","275,00 ","314,00 ","309,00 ","333,00 ","358,00 ","331,00 ","330,00 ","337,00 ","365,00 ","401,00 ","411,00 ","439,00 ","469,00 ","512,00 ","553,00 "
SEK_Q,OPIEKA ZDROWOTNA I POMOC SPOŁECZNA,EN Liczba jednostek gospodarczych,"1 007,00 ","1 025,00 ","1 062,00 ","1 122,00 ","1 281,00 ","1 313,00 ","1 383,00 ","1 392,00 ","1 510,00 ","1 610,00 ","1 624,00 ","1 665,00 ","1 585,00 ","1 594,00 ","1 635,00 ","1 616,00 ","1 625,00 ","1 725,00 ","1 777,00 ","1 837,00 "
SEK_R,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, ROZRYWKĄ I REKREACJĄ",EN Liczba jednostek gospodarczych,"117,00 ","119,00 ","136,00 ","167,00 ","187,00 ","195,00 ","215,00 ","238,00 ","242,00 ","249,00 ","220,00 ","237,00 ","222,00 ","245,00 ","251,00 ","245,00 ","235,00 ","243,00 ","252,00 ","253,00 "
SEK_S,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA,EN Liczba jednostek gospodarczych,"178,00 ","168,00 ","187,00 ","208,00 ","210,00 ","192,00 ","191,00 ","183,00 ","203,00 ","209,00 ","205,00 ","215,00 ","205,00 ","200,00 ","197,00 ","189,00 ","181,00 ","197,00 ","209,00 ","218,00 "
SEK_T,GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW; GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY,EN Liczba jednostek gospodarczych,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
SEK_U,ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE,EN Liczba jednostek gospodarczych,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
