Sector;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027
Rolnictwo;32,4;47,33;41,19;47,8;39,36;48,62;57,49;55,74;58,46;61,17
Górnictwo i kopalnictwo;25,65;46,18;39,45;43,39;36,87;48,99;53,76;54,52;57,64;60,76
Przetwórstwo przemysłowe;35,83;50,01;43,79;48,74;40,99;49,91;55,89;54,62;56,66;58,7
Wytwarzanie i zaopatrywanie w energię el., gaz, wodę;31,8;44,28;42,74;49,12;58,26;47,25;55,56;60,25;63,56;66,87
Budownictwo;33,56;52,68;46,71;53,6;42,08;49,4;56,07;55,77;57,79;59,8
Handel;34,85;49,87;44,27;49,37;38,97;49,12;56,37;54,37;56,43;58,5
Transport;36,78;50,13;43,33;48,58;40,39;49,51;56,04;54,05;55,96;57,88
Hotele i restauracje;31,22;46,23;41,55;48,65;37,72;47,49;56,27;54,71;57,35;59,98
Pośrednictwo finansowe;35,22;52,85;45,98;51,83;41,51;51,3;55,84;55,54;57,48;59,42
Obsługa nieruchomości i firm;34,01;48,96;35,68;40,09;34,24;50,29;59,21;54,19;56,93;59,68
Edukacja;34,47;48,52;43,14;50,4;37,69;45,64;55,15;52,26;54,08;55,89
Ochrona zdrowia;31,66;41,23;34,24;38,3;28,12;37,59;48,21;42,23;43,53;44,82
Pozostała działalność usługowa;30,38;46,61;45,99;51,45;37,65;47,98;55,18;54,86;57,32;59,78
Zakończyły działalność;34,67;51,56;45,11;52,35;41,17;51,53;58,38;57,41;59,81;62,21
