pkd_section;pkd_2025;pkd_name;year;revenue;net_profit;investments;firms;profitable_firms;profit_margin;profitable_share;bank_debt;total_liab;leverage_bank_to_rev;leverage_tot_to_rev;invest_intensity;cagr_revenue;cagr_net_profit;cagr_investments;cagr_firms;profit_margin_std_3y;size_index;growth_index;profit_index;risk_index;outlook_index;current_index;future_index;main_index;class;Pred1;Pred2;Pred3
87;87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;2018;345.01;26.79;18.12;78.0;58.0;0.0776499231906321;0.7435897435897436;120.6;171.39999999999998;0.3495550853598446;0.4967971942842236;0.0525202168053099;0.6890385179011909;52.862745098039234;0.3232761347939221;0.1167831650654578;0.0193012399647201;0.1871322339591071;67.60681336876324;78.22158697440591;89.85821664575644;16.085695518791887;63.45199152631105;53.67378721187266;59.540709800535694;Gwiazdy wzrostu;54.48986460764825;54.48986460764825;54.48986460764825
3;3;RYBACTWO;2018;578.3;50.6;40.22;105.0;75.0;0.0874978384921321;0.7142857142857143;133.18;287.92;0.2302956942763272;0.4978730762579975;0.0695486771571848;2.5700082021893405;3.1267295403517856;1.6264130679873787;0.0097093450822418;0.0377203877074142;0.2546584412170418;54.23568155921647;79.09334040288549;84.63940775560435;41.10270761985272;58.7750095054502;58.10360984238733;58.50644964022506;Gwiazdy wzrostu;63.89978833347697;63.89978833347697;63.89978833347697
46;46;HANDEL HURTOWY, Z WYŁĄCZENIEM HANDLU POJAZDAMI SAMOCHODOWYMI;2018;2070497.18;51985.740000000005;23189.55;21812.0;19067.0;0.0251078535639444;0.8741518430221896;127355.52;477276.36;0.0615096321937516;0.2305129244368254;0.0111999911055179;0.0550998729444716;0.0849828222802255;0.0748973835197437;-0.0225120678869622;0.0012427305635854;100.0;8.126251554855434;72.28122090632348;98.60480223542712;11.317436659728418;69.68330878592286;36.54629080097613;56.42850159194417;Gwiazdy wzrostu;107372.05021168958;107372.05021168958;107372.05021168958
2;2;LEŚNICTWO I POZYSKIWANIE DREWNA;2018;22026.56;1159.36;54.2;988.0;954.0;0.0526346374558714;0.9655870445344128;123.76;3263.4500000000003;0.0056186712768584;0.1481597671175163;0.0024606656690831;2.178608695382132;1.9768239032291168;0.2958115689844314;0.8914782987978884;0.0151261263758753;2.796723117259272;46.43710168225776;83.38521144432914;94.83814558622106;15.558443656224648;61.4663665809649;48.60595164303351;56.32220060579235;Gwiazdy wzrostu;1112.8057789649658;1112.8057789649658;1112.8057789649658
88;88;POMOC SPOŁECZNA BEZ ZAKWATEROWANIA;2018;918.6;39.9;2.3600000000000003;120.0;74.0;0.0434356629653821;0.6166666666666667;10.53;87.72;0.011463096015676;0.0954931417374265;0.0025691269322882;0.5439494839738859;0.6816552919142216;2.089873302932822;0.126247880443606;0.0150776704508884;0.2972610165354892;17.094017457937483;63.75623425020161;95.05416212063598;50.0;48.788263766532665;53.64445387357203;50.730739809348414;Trudna teraźniejszość, dobra przyszłość;67.7681086080557;67.7681086080557;67.7681086080557
47;47;HANDEL DETALICZNY, Z WYŁĄCZENIEM HANDLU DETALICZNEGO POJAZDAMI SAMOCHODOWYMI;2018;848179.79;26962.74;21129.03;14702.0;10103.0;0.0317889441812802;0.6871854169500748;49986.16;195336.88;0.0589334485321797;0.2303012666689452;0.0249110274131855;0.0011845075922971;0.2512369941519083;0.0309011987629461;-0.0381948960879652;0.0047014169674773;54.18414710649626;7.350724016604326;64.51835265905456;97.50712297860808;10.472818524499866;58.05623548379639;35.646481508363664;49.092333893623305;Gwiazdy wzrostu;44877.793031984715;44877.793031984715;44877.793031984715
10;10;PRODUKCJA ARTYKUŁÓW SPOŻYWCZYCH;2018;643860.56;22816.36;23742.06;6238.0;5340.0;0.0354368032730565;0.8560436037191408;72835.94;166965.05;0.1131237794717539;0.2593186481246808;0.0368745369338976;0.0533338802603446;0.05290411561287;0.0132007380061216;-0.0438408698944394;0.0027076612150392;29.847921139250325;8.066321404992461;73.82691547796448;97.69261566133584;10.1330133745816;55.750678146990055;35.78088646973113;47.76276147608648;Gwiazdy wzrostu;36235.78644056045;36235.78644056045;36235.78644056045
45;46;"HANDEL HURTOWY I DETALICZNY POJAZDAMI SAMOCHODOWYMI; NAPRAWA POJAZDÓW SAMOCHODOWYCH";2018;487879.86;9623.92;7163.36;3670.0;3164.0;0.0197260038567691;0.862125340599455;37459.4;114893.12;0.0767799679207909;0.2354946974035779;0.0146826310887274;0.1604860055166068;0.1744346822752049;0.1065347279685795;-0.0321489620599849;0.0001814334372468;20.19450820185226;10.023471234826944;70.402758479962;98.83226824404088;11.924795570953798;53.79513954227996;37.42664007204186;47.24773975418472;Gwiazdy wzrostu;25548.033764533615;25548.033764533615;25548.033764533615
23;23;PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH;2018;168103.87;12285.14;13926.93;2096.0;1758.0;0.0730806494817757;0.8387404580152672;27996.44;61670.84;0.1665425073200278;0.3668615124684518;0.0828471706213545;0.0876351603962701;0.1233972035574326;0.1343248501597922;-0.0382282921859635;0.0004587157273083;8.864199588773616;8.72190594984726;81.89481335430773;97.61359328993262;12.458297312358528;53.71109773077325;36.883968696877375;46.9802461172149;Gwiazdy wzrostu;11084.04628984071;11084.04628984071;11084.04628984071
25;25;PRODUKCJA METALOWYCH WYROBÓW GOTOWYCH, Z WYŁĄCZENIEM MASZYN I URZĄDZEŃ;2018;273721.39;14003.42;14045.52;7120.0;5897.0;0.0511593924026178;0.8282303370786517;33388.009999999995;100150.61;0.1219780814352871;0.3658852163508302;0.0513131984314415;0.0751591101287789;-0.0102158313103156;0.0525572230940196;-0.0126861661490983;0.0068787699639703;22.931331187162524;8.384105912517942;76.16729374030348;95.81868261749187;10.888560730058938;54.46972093588542;35.61626085102652;46.92833690194186;Gwiazdy wzrostu;17256.99062366561;17256.99062366561;17256.99062366561
