numer PKD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SEK_A,0,2588.5499999999956,7066.110000000001,-61.979999999995925,1585.6199999999953,3268.760000000002,9459.479999999996,5054.330000000009,2790.8399999999965,-300.2900000000009,508.6900000000023,-4808.699999999997,-661.7100000000064,5683.860000000001,2934.2100000000064,-2221.0,10246.419999999998,21518.039999999994,5798.100000000006,-3149.590000000011
SEK_B,0,8401.020000000004,2127.5800000000017,10377.809999999998,104.98000000001048,8714.949999999997,25325.649999999994,2686.770000000004,-11134.840000000011,-764.2599999999802,-7262.400000000009,-9643.990000000005,20680.990000000005,2675.709999999992,-2962.9100000000035,-7881.989999999991,31220.25,53788.97,11248.959999999992,-24965.609999999986
SEK_C,0,176157.89000000013,234067.23999999976,71156.49000000022,-37429.25000000023,193338.31000000006,312409.75000000023,86220.83000000007,2157.869999999646,62792.64000000013,46968.119999999646,100669.3200000003,202377.2200000002,186866.7999999998,113046.8500000001,-111630.08999999985,699803.6899999995,1103358.6100000003,-20280.429999999702,-244227.22000000067
SEK_D,0,23534.059999999998,6564.620000000024,55343.59,33258.45000000001,-1327.5600000000559,37755.02000000008,34139.77999999997,-13836.039999999979,-13852.059999999998,19347.26000000001,-21578.300000000047,6659.300000000047,21129.139999999956,59588.79999999999,10559.660000000033,164293.42999999993,400459.16000000015,108934.06999999983,-246316.56999999995
SEK_E,0,2937.3300000000017,3443.3899999999994,6190.159999999996,2586.1300000000047,12154.299999999996,3191.280000000006,1334.479999999996,3533.9300000000003,1211.0800000000017,464.0699999999997,1861.3399999999965,2893.350000000006,5341.470000000001,6244.399999999994,9206.800000000003,17486.929999999993,11311.770000000004,1191.62000000001,14704.36999999998
SEK_F,0,36246.97,56355.01000000001,59008.40000000002,-9636.410000000033,5069.390000000014,63932.45999999996,-42659.53999999998,-32276.640000000014,19469.68000000005,14095.409999999974,-25639.369999999995,15700.0,41767.45999999996,19165.369999999995,-3376.159999999916,51423.71999999997,91807.71999999997,46196.340000000026,-8550.359999999986
SEK_G,0,133232.7699999998,212832.97999999998,152652.3500000001,-26149.36999999988,118431.44999999995,163143.84000000008,77615.8899999999,66345.98999999999,53374.03000000003,57189.60000000009,118377.23999999976,179676.25,187278.39000000013,96802.08999999985,-18716.47999999998,509249.0,770859.3199999998,25673.30000000028,73262.52000000048
SEK_H,0,17116.300000000017,19001.359999999986,18919.890000000014,-4381.0899999999965,15601.23999999999,26777.179999999993,13567.020000000019,10351.689999999973,13129.560000000027,13136.209999999992,26568.0,23544.030000000028,28037.26000000001,30687.02999999991,-16302.329999999958,79360.01999999996,112148.47999999998,19012.219999999972,29395.070000000065
SEK_I,0,1577.1200000000008,2570.1900000000005,2451.91,711.9599999999991,975.8600000000006,3700.769999999997,394.9800000000032,875.4300000000003,1946.5400000000009,2255.329999999998,3618.949999999997,2329.020000000004,3404.9000000000015,5065.159999999996,-14332.259999999998,8331.829999999998,19104.910000000003,13126.049999999988,7782.080000000002
SEK_J,0,3862.290000000008,12218.459999999992,28878.400000000023,3093.9100000000035,3284.689999999973,13063.100000000006,6831.0899999999965,-379.9800000000105,-2317.319999999978,13589.380000000005,8792.479999999981,8750.059999999998,15915.870000000024,15254.790000000008,13509.649999999965,37265.27000000002,54669.70000000001,44386.95999999996,35454.850000000035
SEK_K,0,10113.71,7561.689999999995,2635.010000000002,11506.110000000008,3700.4699999999866,13331.960000000006,2984.590000000011,10538.839999999982,4895.639999999999,-13554.549999999988,17030.039999999994,-4664.919999999998,-6093.360000000001,6418.450000000012,-5840.770000000004,12613.099999999991,48756.86,4570.929999999993,43504.350000000006
SEK_L,0,849.1200000000026,2769.6800000000003,5153.120000000003,583.0199999999968,4985.340000000004,9824.039999999994,2507.7000000000116,-253.7600000000093,3985.1800000000076,-258.54000000000815,493.68000000000757,3786.8699999999953,2278.1100000000006,2359.560000000012,4848.469999999987,10370.049999999988,1190.62000000001,27035.600000000006,5155.599999999977
SEK_M,0,4262.080000000002,9951.349999999991,12878.660000000003,20172.869999999995,4344.600000000006,-8385.049999999988,8507.429999999993,1614.270000000004,7471.079999999987,5224.149999999994,10005.059999999998,-1203.3399999999674,12976.01999999996,17619.900000000023,1522.3399999999965,27711.129999999976,40871.78000000003,35696.350000000035,32458.24999999994
SEK_N,0,5556.699999999997,8748.920000000006,12887.650000000001,2689.3799999999974,7283.419999999998,8649.250000000007,525.7299999999959,6230.37999999999,6508.460000000006,10905.790000000008,7059.319999999992,15828.300000000003,15510.750000000015,10689.449999999983,-18972.050000000003,27560.64,35258.67999999999,33821.32000000001,25543.790000000008
SEK_O,0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEK_P,0,-1457.05,11.0,49.0,3165.54,149.78999999999996,386.74000000000024,145.7199999999998,355.90999999999985,483.4300000000003,-598.04,-139.76000000000022,202.8699999999999,789.96,660.8800000000001,-1209.5600000000004,477.420000000001,620.7799999999988,2479.3,1223.2200000000012
SEK_Q,0,1448.8700000000008,2105.8199999999997,3474.09,5128.210000000001,2893.0099999999984,4504.829999999998,3392.270000000004,4762.450000000001,6498.459999999999,4353.029999999999,4311.740000000005,1226.1699999999983,5074.979999999996,7179.5,5269.909999999996,17536.37000000001,11404.029999999999,20388.759999999995,20937.709999999992
SEK_R,0,1259.670000000002,6785.460000000001,8884.55,4192.249999999996,-5781.41,-603.4500000000007,403.1500000000051,-1538.4100000000035,-2701.3499999999985,797.0399999999972,2032.140000000003,4983.959999999999,5041.7199999999975,16022.770000000004,5946.639999999999,26612.909999999996,40343.57000000001,31660.92,36433.34999999998
SEK_S,0,431.1700000000001,1262.7300000000005,686.2099999999991,1298.3900000000003,-2414.08,-191.10000000000036,1118.5900000000001,2124.75,409.4200000000001,1208.210000000001,-444.8100000000013,-14.989999999999782,186.97999999999956,830.5799999999999,-1592.8499999999985,902.2799999999988,1150.0,2146.34,600.1900000000005
SEK_T,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEK_U,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
